endTime,artistName,trackName,msPlayed
2021-12-06 17:14,Ronan Keating,When You Say Nothing At All,1130
2021-12-06 17:14,Nelly Furtado,Promiscuous,1040
2021-12-06 17:14,Palmy,ซ่อนกลิ่น,1630
2021-12-06 17:14,Gym Class Heroes,The Fighter (feat. Ryan Tedder),1260
2021-12-06 17:14,Chelsea Cutler,Your Shirt,3410
2021-12-06 17:14,Aina Abdul,Reminiscing,1130
2021-12-06 17:14,Thomas Rhett,Look What God Gave Her,790
2021-12-06 17:14,Ed Sheeran,Castle on the Hill,990
2021-12-06 17:14,Ne-Yo,Go On Girl,670
2021-12-06 17:14,MUNA,I Know A Place,1000
2021-12-06 17:14,A1,Caught in the Middle,1140
2021-12-06 17:14,FRND,Smile,3060
2021-12-06 17:14,Kelly Clarkson,Mr. Know It All,1160
2021-12-06 17:14,Katy Perry,Unconditionally,590
2021-12-06 17:14,Wan Thanakrit,โสดทัศนศึกษา,1060
2021-12-06 17:15,Lucy Spraggan,Stick the Kettle On,380
2021-12-06 17:15,Bodyslam,พูดในใจ,1480
2021-12-06 17:15,Getsunova,เหตุผลที่ไม่มีเหตุผล,3720
2021-12-06 17:18,Playground,ปล่อยวาง,1050
2021-12-06 17:18,Tattoo Colour,ฝากที,229620
2021-12-06 17:20,Tattoo Colour,กลัว,870
2021-12-06 17:20,Aof Pongsak,เจ็บแต่จบ,104290
2021-12-06 17:20,Yoste,Flaws,700
2021-12-06 17:20,Bodyslam,ความซื่อสัตย์,1020
2021-12-06 17:20,R3HAB,Hold on Tight,640
2021-12-06 17:20,The Chainsmokers,This Feeling,1080
2021-12-06 17:20,JETSET'ER,ปีแสง (11),3020
2021-12-06 17:20,Simple Plan,Perfect,1180
2021-12-06 17:20,Tyla Yaweh,Gemini,560
2021-12-06 17:20,Taylor Swift,New Year’s Day,1240
2021-12-06 17:20,Scouting For Girls,She's So Lovely,900
2021-12-06 17:20,Simple Plan,When I'm Gone,1220
2021-12-06 17:20,Dream,Change My Clothes,890
2021-12-06 17:23,HEDEGAARD,Ready To Love You,1490
2021-12-06 17:23,Yoste,Flaws,900
2021-12-06 17:23,Dean Lewis,Be Alright,1200
2021-12-06 17:23,Shallou,Find,670
2021-12-06 17:23,Maroon 5,Fortune Teller,980
2021-12-06 17:23,Dido,Here With Me,1880
2021-12-06 17:23,FLETCHER,"On Fire Again - From The Netflix Film ""To All The Boys: Always and Forever""",2070
2021-12-06 17:23,Betty Who,Language,1040
2021-12-06 17:23,Blue,All Rise,740
2021-12-06 17:23,OneRepublic,I Lived,1410
2021-12-06 17:23,Dream,Change My Clothes,143760
2021-12-06 17:26,Lifehouse,Halfway Gone,1100
2021-12-06 17:26,Getsunova,พัง..(ลำพัง),780
2021-12-06 17:26,Kishi Bashi,Marigolds,1700
2021-12-06 17:26,Avril Lavigne,My Happy Ending,1180
2021-12-06 17:26,Malia Civetz,Champagne Clouds,1060
2021-12-06 17:26,Forest Blakk,Put Your Hands Up,1760
2021-12-06 17:26,Boyd Kosiyabong,ที่ฉันรู้,820
2021-12-06 17:26,Jimmy Eat World,23,2260
2021-12-06 17:26,Justin Bieber,The Feeling,780
2021-12-06 17:26,Ivy Adara,Famous,820
2021-12-06 17:26,Ellie Goulding,Anything Could Happen,830
2021-12-06 17:26,Lauv,Enemies,1740
2021-12-06 17:26,John Mayer,Half of My Heart,820
2021-12-06 17:26,Mariah Carey,Always Be My Baby,1540
2021-12-06 17:26,Taylor Swift,Gorgeous,580
2021-12-06 17:26,Mark Forster,Chöre,680
